sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
MIZ325,Rousettus madagascariensis,1/9/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ326,Rousettus madagascariensis,1/9/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ327,Rousettus madagascariensis,1/9/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ328,Rousettus madagascariensis,1/9/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ335,Rousettus madagascariensis,1/10/19,NA,aged,Cara Brook,no,NA,0.076712329,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ336,Rousettus madagascariensis,1/10/19,NA,aged,Cara Brook,no,NA,0.076712329,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ337,Rousettus madagascariensis,1/10/19,NA,aged,Cara Brook,no,NA,0.076712329,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ343,Rousettus madagascariensis,1/31/19,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ344,Rousettus madagascariensis,1/31/19,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ345,Rousettus madagascariensis,1/31/19,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ364,Rousettus madagascariensis,2/1/19,NA,aged,Cara Brook,no,NA,0.136986301,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ365,Rousettus madagascariensis,2/1/19,NA,aged,Cara Brook,no,NA,0.136986301,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ370,Rousettus madagascariensis,2/1/19,NA,aged,Cara Brook,no,NA,0.136986301,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ371,Rousettus madagascariensis,2/1/19,NA,aged,Cara Brook,no,NA,0.136986301,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL281,Eidolon dupreanum,2/5/19,NA,aged,Cara Brook,no,NA,0.219178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL286,Eidolon dupreanum,2/5/19,NA,aged,Cara Brook,no,NA,0.219178082,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB161,Pteropus rufus,2/13/19,NA,aged,Cara Brook,no,NA,0.37260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB163,Pteropus rufus,2/18/19,NA,aged,Cara Brook,no,NA,0.38630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ376,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ373,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ378,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ375,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ372,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ377,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ374,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ379,Rousettus madagascariensis,2/23/19,NA,aged,Cara Brook,no,NA,0.197260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ382,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ383,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ386,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ389,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ390,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ391,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ392,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ394,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ395,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ399,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ401,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ402,Rousettus madagascariensis,2/24/19,NA,aged,Cara Brook,no,NA,0.2,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL268B,Eidolon dupreanum,3/14/19,NA,aged,Cara Brook,no,NA,0.320547945,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
AMB170,Pteropus rufus,3/27/19,NA,aged,Cara Brook,no,NA,0.487671233,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ414,Rousettus madagascariensis,4/9/19,NA,aged,Cara Brook,no,NA,0.320547945,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ427,Rousettus madagascariensis,4/10/19,NA,aged,Cara Brook,no,NA,0.323287671,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL326,Eidolon dupreanum,4/23/19,NA,aged,Cara Brook,no,NA,0.430136986,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ437,Rousettus madagascariensis,5/21/19,NA,aged,Cara Brook,no,NA,0.435616438,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ430,Rousettus madagascariensis,5/21/19,NA,aged,Cara Brook,no,NA,0.435616438,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ448,Rousettus madagascariensis,5/22/19,NA,aged,Cara Brook,no,NA,0.438356164,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL340,Eidolon dupreanum,6/5/19,NA,aged,Cara Brook,no,NA,0.547945205,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ458,Rousettus madagascariensis,7/3/19,NA,aged,Cara Brook,no,NA,0.553424658,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ461,Rousettus madagascariensis,7/3/19,NA,aged,Cara Brook,no,NA,0.553424658,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ462,Rousettus madagascariensis,7/3/19,NA,aged,Cara Brook,no,NA,0.553424658,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ463,Rousettus madagascariensis,7/3/19,NA,aged,Cara Brook,no,NA,0.553424658,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ456,Rousettus madagascariensis,7/3/19,NA,aged,Cara Brook,no,NA,0.553424658,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL363,Eidolon dupreanum,7/7/19,NA,aged,Cara Brook,no,NA,0.635616438,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI004,Pteropus rufus,7/17/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU103,Rousettus madagascariensis,8/8/19,NA,aged,Cara Brook,no,NA,0.652054795,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU95,Rousettus madagascariensis,8/8/19,NA,aged,Cara Brook,no,NA,0.652054795,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU104,Rousettus madagascariensis,8/9/19,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU111,Rousettus madagascariensis,8/9/19,NA,aged,Cara Brook,no,NA,0.654794521,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU113,Rousettus madagascariensis,8/11/19,NA,aged,Cara Brook,no,NA,0.660273973,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ469,Rousettus madagascariensis,8/22/19,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ471,Rousettus madagascariensis,8/22/19,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ472,Rousettus madagascariensis,8/22/19,NA,aged,Cara Brook,no,NA,0.690410959,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI033,Pteropus rufus,9/4/19,NA,aged,Cara Brook,no,NA,0.928767123,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ504,Rousettus madagascariensis,9/18/19,NA,aged,Cara Brook,no,NA,0.764383562,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ512,Rousettus madagascariensis,9/19/19,NA,aged,Cara Brook,no,NA,0.767123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI041,Pteropus rufus,9/20/19,NA,aged,Cara Brook,no,NA,0.97260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL378,Eidolon dupreanum,9/20/19,NA,aged,Cara Brook,no,NA,0.84109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU119,Rousettus madagascariensis,9/26/19,NA,aged,Cara Brook,no,NA,0.78630137,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
CAT003,Eidolon dupreanum,9/27/19,NA,aged,Cara Brook,no,NA,0.860273973,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI036,Pteropus rufus,9/28/19,NA,aged,Cara Brook,no,NA,0.994520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU137,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI039,Pteropus rufus,9/29/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI040,Pteropus rufus,9/29/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU140,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU141,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU139,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI043,Pteropus rufus,9/29/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU136,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI042,Pteropus rufus,9/29/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU132,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU134,Rousettus madagascariensis,9/29/19,NA,aged,Cara Brook,no,NA,0.794520548,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY010,Eidolon dupreanum,10/1/19,NA,aged,Cara Brook,no,NA,0.871232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY009,Eidolon dupreanum,10/1/19,NA,aged,Cara Brook,no,NA,0.871232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY005,Eidolon dupreanum,10/1/19,NA,aged,Cara Brook,no,NA,0.871232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY011,Eidolon dupreanum,10/1/19,NA,aged,Cara Brook,no,NA,0.871232877,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY022,Eidolon dupreanum,10/2/19,NA,aged,Cara Brook,no,NA,0.873972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY015,Eidolon dupreanum,10/2/19,NA,aged,Cara Brook,no,NA,0.873972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY023,Eidolon dupreanum,10/2/19,NA,aged,Cara Brook,no,NA,0.873972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY024,Eidolon dupreanum,10/2/19,NA,aged,Cara Brook,no,NA,0.873972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ525,Rousettus madagascariensis,10/15/19,NA,aged,Cara Brook,no,NA,0.838356164,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ523,Rousettus madagascariensis,10/15/19,NA,aged,Cara Brook,no,NA,0.838356164,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ533,Rousettus madagascariensis,10/15/19,NA,aged,Cara Brook,no,NA,0.838356164,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ547(duplicatedsampleID),Rousettus madagascariensis,10/16/19,NA,aged,Cara Brook,no,NA,0.84109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL391,Eidolon dupreanum,10/17/19,NA,aged,Cara Brook,no,NA,0.915068493,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL394,Eidolon dupreanum,10/17/19,NA,aged,Cara Brook,no,NA,0.915068493,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI051,Pteropus rufus,10/27/19,NA,aged,Cara Brook,no,NA,0.073972603,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI056,Pteropus rufus,10/29/19,NA,aged,Cara Brook,no,NA,0.079452055,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI055,Pteropus rufus,10/29/19,NA,aged,Cara Brook,no,NA,0.079452055,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI060,Pteropus rufus,10/31/19,NA,aged,Cara Brook,no,NA,0.084931507,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI059,Pteropus rufus,10/31/19,NA,aged,Cara Brook,no,NA,0.084931507,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY036,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY038,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY033,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY035,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY034,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY037,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY032,Eidolon dupreanum,11/1/19,NA,aged,Cara Brook,no,NA,0.956164384,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY045,Eidolon dupreanum,11/2/19,NA,aged,Cara Brook,no,NA,0.95890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY044,Eidolon dupreanum,11/2/19,NA,aged,Cara Brook,no,NA,0.95890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY046,Eidolon dupreanum,11/2/19,NA,aged,Cara Brook,no,NA,0.95890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY053,Eidolon dupreanum,11/3/19,NA,aged,Cara Brook,no,NA,0.961643836,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY052,Eidolon dupreanum,11/3/19,NA,aged,Cara Brook,no,NA,0.961643836,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
RTC009,Rousettus madagascariensis,11/4/19,NA,aged,Cara Brook,no,NA,0.893150685,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
RTC007,Rousettus madagascariensis,11/4/19,NA,aged,Cara Brook,no,NA,0.893150685,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
RTC012,Rousettus madagascariensis,11/5/19,NA,aged,Cara Brook,no,NA,0.895890411,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
CAT033,Eidolon dupreanum,11/5/19,NA,aged,Cara Brook,no,NA,0.967123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
CAT029,Eidolon dupreanum,11/5/19,NA,aged,Cara Brook,no,NA,0.967123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
CAT028,Eidolon dupreanum,11/5/19,NA,aged,Cara Brook,no,NA,0.967123288,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU154,Rousettus madagascariensis,11/7/19,NA,aged,Cara Brook,no,NA,0.901369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU146,Rousettus madagascariensis,11/7/19,NA,aged,Cara Brook,no,NA,0.901369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU162,Rousettus madagascariensis,11/8/19,NA,aged,Cara Brook,no,NA,0.904109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ546(duplicatedsampleID),Rousettus madagascariensis,11/13/19,NA,aged,Cara Brook,no,NA,0.917808219,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL414,Eidolon dupreanum,11/16/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL416,Eidolon dupreanum,11/16/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL421,Eidolon dupreanum,11/16/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL422,Eidolon dupreanum,11/16/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL402,Eidolon dupreanum,11/16/19,NA,aged,Cara Brook,no,NA,0.997260274,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
